order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name
73,4704,174,2023-11-01,121.89,Spice Mess Andhra
74,2043,184,2023-03-15,1508.46,Spice Kitchen Punjabi
75,2120,232,2023-12-27,380.29,Punjabi Zaika House
76,1038,280,2023-03-12,111.92,Chef’s Delight Kitchen
77,1904,116,2023-12-18,1180.72,Ruchi Biryani Punjabi
78,4437,162,2023-12-23,755.51,Ruchi Curry House Multicuisine
79,4375,110,2023-10-20,1107.74,Amma Biryani North Indian
80,2877,176,2023-05-12,1562.37,Ruchi Biryani Punjabi
81,4987,144,2023-02-11,182.92,Sri Tiffins Andhra
82,2274,141,2023-06-22,1307.27,Amma Restaurant South Indian
83,2090,183,2023-03-11,1264.11,Bombay Spice Villa
84,1735,136,2023-01-11,1292.09,Chef’s Delight Kitchen
85,3717,197,2023-08-09,645.42,Ruchi Foods South Indian
86,2249,110,2023-08-13,757.24,Royal Tiffins Multicuisine
87,2015,110,2023-10-11,262.2,Swagath Cafe Multicuisine
88,4504,206,2023-04-07,330.66,FoodHub Express
89,4008,190,2023-01-22,1507.98,Spice Mess Punjabi
90,1611,285,2023-02-15,1783.17,New Foods Chinese
91,3674,129,2023-05-18,144.98,Ruchi Foods Chinese
92,2024,288,2023-01-01,1498.0,Curry Kings Restaurant
93,3941,152,2023-11-13,946.09,Royal Masala Point
94,4840,177,2023-08-02,165.99,Amma Kitchen Punjabi
95,3744,281,2023-12-02,952.19,Amma Restaurant South Indian
96,3226,262,2023-01-13,486.09,Biryani Brothers
97,2389,196,2023-03-16,1464.09,Punjabi Zaika House
98,4269,219,2023-12-27,598.03,Curry Kings Restaurant
99,2642,106,2023-02-09,542.15,Bombay Spice Villa
100,2809,134,2023-10-12,845.15,Amma Tiffins South Indian
101,3416,191,2023-07-10,383.39,Spice Mess Andhra
102,2488,222,2023-10-02,1596.62,Ruchi Foods South Indian
103,1031,230,2023-10-01,1328.45,Biryani Brothers
104,2995,105,2023-12-23,1453.45,Urban Biryani House
105,4800,210,2023-08-18,490.12,Ruchi Foods South Indian
106,2185,255,2023-06-05,1306.15,Amma Tiffins South Indian
107,1460,285,2023-10-20,1264.98,Bombay Spice Villa
108,4714,127,2023-09-04,125.88,Spice Mess Andhra
109,4381,214,2023-06-17,496.79,Sri Tiffins Andhra
110,4880,152,2023-08-16,1477.11,Swagath Cafe Multicuisine
111,1646,217,2023-06-27,606.13,Annapurna Kitchen Family Restaurant
112,1970,173,2023-12-10,284.16,Amma Kitchen Punjabi
113,1231,281,2023-05-21,975.83,Chef’s Delight Kitchen
114,1254,174,2023-11-06,970.81,Ruchi Foods Chinese
115,1773,236,2023-08-21,359.33,Chef’s Delight Kitchen
116,1816,200,2023-12-27,463.18,Amma Kitchen Punjabi
117,3713,275,2023-10-01,1694.78,Biryani Brothers
118,2776,222,2023-04-11,1223.36,Swagath Cafe Multicuisine
119,1373,163,2023-07-12,1018.71,Taste of Biryani Non-Veg
120,2344,240,2023-01-08,371.83,Punjabi Zaika House
121,3459,170,2023-08-19,955.87,Curry Kings Restaurant
122,2903,275,2023-12-17,486.24,Tandoori Junction
123,1750,297,2023-12-23,715.25,FoodHub Express
124,3847,169,2023-05-15,1557.41,Bombay Spice Villa
125,1614,233,2023-12-17,256.75,Biryani Brothers
126,2185,105,2023-08-07,1021.66,Ruchi Foods South Indian
127,1121,106,2023-05-27,1556.01,Amma Tiffins South Indian
128,4102,204,2023-12-04,613.85,Bombay Spice Villa
129,3207,127,2023-02-01,181.86,Royal Masala Point
130,3417,117,2023-12-24,1698.91,Amma Kitchen Punjabi
131,3985,195,2023-02-27,646.9,Amma Restaurant South Indian
132,2309,106,2023-10-13,1679.07,Spice Mess Punjabi
133,1395,274,2023-11-26,1663.54,Sri Tiffins Andhra
134,2525,161,2023-06-17,987.15,Amma Delights Family Restaurant
135,4208,268,2023-08-03,335.31,Curry Kings Restaurant
136,1216,196,2023-08-15,903.67,Darbar Kitchen Non-Veg
137,3279,219,2023-07-20,1534.28,Amma Delights Family Restaurant
138,2263,289,2023-08-01,1148.09,Spice Mess Punjabi
139,2841,217,2023-03-07,1521.8,Amma Delights Family Restaurant
140,1355,279,2023-08-21,1511.2,Masala Trail Multicuisine
141,1485,228,2023-05-14,380.25,Flavour Street Kitchen
142,4156,244,2023-01-26,887.23,Sri Tiffins Andhra
143,3542,209,2023-10-26,1217.82,Tandoori Junction
144,4310,145,2023-04-09,1267.02,Biryani Brothers
145,2774,110,2023-02-27,1488.27,Sri Tiffins Andhra
146,2612,131,2023-08-10,1137.91,Amma Tiffins South Indian
147,3924,144,2023-01-24,995.55,Urban Biryani House
148,1976,141,2023-11-24,895.23,Urban Biryani House
149,4935,189,2023-06-15,1403.51,New Cafe North Indian
150,4063,169,2023-12-02,1672.67,Darbar Restaurant North Indian
151,3481,149,2023-07-14,184.03,Ruchi Curry House Multicuisine
152,2838,239,2023-10-10,1484.07,Flavour Street Kitchen
153,3486,101,2023-08-02,161.58,Taste of Biryani Non-Veg
154,2776,296,2023-12-08,494.67,Ruchi Foods Chinese
155,4056,192,2023-12-25,1502.86,Amma Biryani North Indian
156,2455,266,2023-04-02,1142.65,Swagath Cafe Multicuisine
157,1516,136,2023-03-03,1344.82,Royal Tiffins Multicuisine
158,2002,146,2023-01-27,245.44,Taste of Biryani Non-Veg
159,1945,286,2023-10-18,1310.68,Flavour Street Kitchen
160,4863,262,2023-08-05,855.77,Ruchi Foods South Indian
161,1526,184,2023-05-12,338.28,Curry Kings Restaurant
162,1797,157,2023-12-27,236.19,Annapurna Tiffins South Indian
163,4484,298,2023-03-01,339.65,Royal Eatery South Indian
164,4843,181,2023-01-07,1326.88,Royal Tiffins Multicuisine
165,1335,166,2023-08-10,1700.55,FoodHub Express
166,1139,263,2023-08-11,576.79,Bombay Spice Villa
167,3146,183,2023-08-22,789.4,Royal Tiffins Multicuisine
168,4153,130,2023-08-12,231.6,Spice Mess Punjabi
169,2862,155,2023-05-17,777.86,Masala Trail Multicuisine
170,4420,258,2023-12-19,1733.53,Royal Masala Point
171,3047,109,2023-02-06,934.26,FoodHub Express
172,3339,119,2023-04-06,1106.63,Darbar Kitchen Non-Veg
173,1562,218,2023-10-10,1060.94,Royal Biryani North Indian
174,1241,264,2023-07-05,683.32,Darbar Kitchen Non-Veg
175,4221,186,2023-05-01,486.18,The Feast Factory
176,3454,137,2023-02-10,1413.88,FoodHub Express
177,2918,208,2023-08-05,1686.05,Royal Biryani North Indian
178,2312,129,2023-10-21,956.06,Curry Kings Restaurant
179,4135,298,2023-08-20,402.99,Swagath Cafe Multicuisine
180,4333,171,2023-10-22,1785.71,Punjabi Zaika House
181,2566,102,2023-08-13,618.72,Amma Kitchen Punjabi
182,1930,116,2023-10-07,491.31,FoodHub Express
183,2459,200,2023-11-21,406.95,Royal Eatery South Indian
184,2179,164,2023-10-20,412.82,Darbar Delights South Indian
185,2191,250,2023-10-05,1140.79,Spice Mess Andhra
186,2270,256,2023-07-02,383.61,Spice Kitchen Punjabi
187,2921,266,2023-12-24,1705.89,Spice Mess Andhra
188,2714,153,2023-05-22,1286.36,Swagath Cafe Multicuisine
189,1354,162,2023-06-07,1502.08,Taste of Biryani Non-Veg
190,1847,297,2023-01-24,1488.67,Chef’s Delight Kitchen
191,4246,220,2023-01-13,644.64,Darbar Mess Pure Veg
192,1130,278,2023-12-08,769.14,Royal Masala Point
193,2084,281,2023-04-16,163.91,Darbar Kitchen Non-Veg
194,3184,285,2023-01-19,898.75,Ruchi Foods South Indian
195,1781,148,2023-05-25,301.34,Ruchi Biryani Punjabi
196,3256,146,2023-10-11,7613.24,Amma Kitchen Punjabi
197,3652,292,2023-05-08,1040.05,Darbar Mess Pure Veg
198,2385,281,2023-05-08,1299.66,Tandoori Junction
199,4223,105,2023-04-14,469.22,Spice Mess Andhra
200,1943,210,2023-11-07,1189.74,Flavour Street Kitchen
201,3589,132,2023-05-20,1552.42,Sri Tiffins Andhra
202,2130,169,2023-01-12,1316.76,Sri Tiffins Andhra
203,1320,296,2023-11-17,108.73,Biryani Brothers
204,1585,226,2023-12-10,1205.58,Annapurna Tiffins South Indian
205,1995,106,2023-06-04,261.63,Swagath Cafe Multicuisine
206,2833,120,2023-04-27,398.15,FoodHub Express
207,4478,299,2023-02-22,1004.48,Darbar Restaurant North Indian
208,1782,108,2023-03-13,484.85,Curry Kings Restaurant
209,3527,224,2023-06-18,1143.7,Ruchi Foods Chinese
210,3733,283,2023-04-21,902.08,Amma Delights Family Restaurant
211,2147,220,2023-02-01,924.41,The Feast Factory
212,4786,282,2023-08-14,1758.43,Darbar Mess Pure Veg
213,1145,247,2023-01-19,656.49,Royal Eatery South Indian
214,4126,154,2023-12-19,787.15,Taste of Biryani Non-Veg
215,3550,117,2023-09-11,327.16,Chef’s Delight Kitchen
216,3242,273,2023-06-21,971.14,Amma Restaurant South Indian
217,2703,203,2023-08-13,1761.81,Udupi Curry House South Indian
218,2476,181,2023-05-10,1287.09,Tandoori Junction
219,3758,186,2023-07-23,279.53,Swagath Cafe Multicuisine
220,4225,145,2023-01-25,126.99,Bombay Spice Villa
221,3711,138,2023-01-02,1026.7,Spice Mess Punjabi
222,4893,298,2023-03-20,1200.94,Amma Biryani North Indian
223,4831,218,2023-01-11,1651.09,Amma Restaurant South Indian
224,1483,192,2023-08-20,963.9,Annapurna Kitchen Family Restaurant
225,3141,145,2023-10-26,1032.81,Biryani Brothers
226,2880,183,2023-08-20,805.59,Chef’s Delight Kitchen
227,1641,187,2023-02-12,831.67,Amma Delights Family Restaurant
228,1698,181,2023-08-03,362.64,Royal Biryani North Indian
229,2101,132,2023-05-23,1420.16,Amma Biryani North Indian
230,3434,227,2023-06-16,1599.76,New Cafe North Indian
231,3035,299,2023-12-18,875.75,Sri Tiffins Andhra
232,1747,170,2023-07-21,1644.99,Ruchi Foods South Indian
233,2255,119,2023-07-27,442.41,Annapurna Tiffins South Indian
234,1966,242,2023-04-27,1414.27,Bombay Spice Villa
235,4588,165,2023-02-23,211.9,Amma Restaurant South Indian
236,1770,181,2023-08-09,959.0,New Cafe North Indian
237,3650,221,2023-12-21,764.24,Spice Mess Andhra
238,3010,241,2023-08-20,1784.98,Curry Kings Restaurant
239,2314,172,2023-08-27,108.3,Darbar Kitchen Non-Veg
240,2737,255,2023-05-27,1143.77,Amma Biryani North Indian
241,4516,247,2023-11-26,1415.71,Annapurna Tiffins South Indian
242,2434,247,2023-08-15,440.97,Masala Trail Multicuisine
243,2109,275,2023-05-27,1525.15,Ruchi Foods South Indian
244,1630,262,2023-01-27,463.87,FoodHub Express
245,1938,139,2023-08-05,1727.29,Annapurna Tiffins South Indian
246,1445,254,2023-12-21,581.73,Curry Kings Restaurant
247,2098,142,2023-08-16,287.6,Sri Tiffins Andhra
248,4128,254,2023-12-17,676.28,Royal Eatery South Indian
249,2055,141,2023-08-02,1225.33,Spice Mess Punjabi
250,3361,107,2023-09-03,1376.91,Spice Mess Punjabi
251,1027,268,2023-01-12,1376.69,Urban Biryani House
252,2329,244,2023-06-09,1740.58,Taste of Biryani Non-Veg
253,3041,144,2023-05-17,730.5,The Feast Factory
254,4781,146,2023-12-25,1528.66,Spice Kitchen Punjabi
255,2246,145,2023-07-10,605.12,Royal Tiffins Multicuisine
256,1092,243,2023-12-01,721.41,Darbar Kitchen Non-Veg
257,4990,179,2023-07-01,736.15,Darbar Restaurant North Indian
258,4734,202,2023-01-23,1403.82,Swagath Cafe Multicuisine
259,4761,272,2023-11-15,1497.41,Spice Mess Punjabi
260,2566,139,2023-07-25,806.41,Grand Cafe Punjabi
261,3998,277,2023-04-13,1362.46,Ruchi Curry House Multicuisine
262,3325,133,2023-05-02,11716.95,Masala Trail Multicuisine
263,3378,229,2023-06-12,986.76,Ruchi Curry House Multicuisine
264,1451,214,2023-08-07,1555.11,Sri Tiffins Andhra
265,3745,297,2023-03-15,12822.72,Darbar Restaurant North Indian
266,1377,195,2023-04-02,647.81,Spice Kitchen Punjabi
267,3769,193,2023-06-26,1624.83,Punjabi Zaika House
268,1719,240,2023-10-23,926.21,Annapurna Kitchen Family Restaurant
269,1100,259,2023-01-04,524.78,Udupi Curry House South Indian
270,1683,257,2023-10-01,362.73,Ruchi Foods Chinese
271,4689,193,2023-05-05,1333.22,Chef’s Delight Kitchen
272,1847,211,2023-03-07,1352.84,Bombay Spice Villa
273,2323,257,2023-12-21,559.47,Chef’s Delight Kitchen
274,4516,222,2023-01-07,1584.14,Grand Cafe Punjabi
275,4771,174,2023-09-04,344.38,Spice Kitchen Punjabi
276,2154,164,2023-06-15,434.89,Punjabi Zaika House
277,4145,162,2023-12-17,509.36,Chef’s Delight Kitchen
278,1245,143,2023-08-11,1079.17,Spice Mess Andhra
279,2571,249,2023-02-05,458.52,Bombay Spice Villa
280,3246,217,2023-08-19,288.59,Spice Kitchen Punjabi
281,2506,292,2023-09-18,991.84,Spice Mess Punjabi
282,3177,238,2023-12-13,1455.72,Ruchi Foods South Indian
283,3752,230,2023-04-15,1565.56,Amma Kitchen Punjabi
284,2115,164,2023-01-14,1021.79,Amma Delights Family Restaurant
285,4942,232,2023-04-26,1169.94,Annapurna Tiffins South Indian
286,3142,228,2023-06-24,411.96,Tandoori Junction
287,2636,281,2023-03-15,846.16,Bombay Spice Villa
288,1669,237,2023-01-11,523.87,Darbar Restaurant North Indian
289,3551,105,2023-10-10,1219.79,Punjabi Zaika House
290,4887,172,2023-01-20,1141.73,Swagath Cafe Multicuisine
291,4690,221,2023-12-24,579.61,New Foods Chinese
292,1636,114,2023-05-23,809.86,Udupi Curry House South Indian
293,3464,103,2023-03-03,755.03,Flavour Street Kitchen
294,2370,243,2023-12-25,1054.94,Amma Biryani North Indian
295,3460,273,2023-08-22,1026.41,Grand Cafe Punjabi
296,2564,177,2023-08-08,578.38,Urban Biryani House
297,3841,207,2023-06-07,749.62,Spice Kitchen Punjabi
298,2714,117,2023-12-05,1456.39,Royal Eatery South Indian
299,2000,237,2023-12-26,1768.03,Chef’s Delight Kitchen
300,2260,106,2023-06-21,1729.79,Royal Biryani North Indian
301,2706,288,2023-12-22,268.19,Royal Masala Point
302,1217,172,2023-03-06,992.73,Curry Kings Restaurant
303,4515,103,2023-09-13,1271.44,Punjabi Zaika House
304,1632,201,2023-05-20,1775.06,Ruchi Biryani Punjabi
305,3720,186,2023-04-22,1184.83,Spice Kitchen Punjabi
306,2015,195,2023-05-17,608.17,Amma Biryani North Indian
307,1004,130,2023-10-12,595.76,Spice Kitchen Punjabi
308,1020,149,2023-07-02,299.72,Tandoori Junction
309,1790,239,2023-05-03,592.25,Amma Kitchen Punjabi
310,2089,276,2023-07-18,918.7,Darbar Restaurant North Indian
311,1862,110,2023-08-21,627.53,Royal Eatery South Indian
312,2190,169,2023-08-15,538.7,FoodHub Express
313,2665,174,2023-02-08,943.22,Ruchi Foods Chinese
314,4455,174,2023-02-25,733.61,Royal Masala Point
315,4921,175,2023-05-01,1704.7,Ruchi Curry House Multicuisine
316,2545,106,2023-12-05,324.47,Annapurna Tiffins South Indian
317,3796,136,2023-11-21,1343.58,Bombay Spice Villa
318,3528,266,2023-08-14,183.37,New Cafe North Indian
319,2360,157,2023-05-10,640.09,Darbar Kitchen Non-Veg
320,2742,245,2023-12-10,271.82,Curry Kings Restaurant
321,2640,196,2023-02-14,409.6,Swagath Cafe Multicuisine
322,3079,110,2023-05-07,685.83,Chef’s Delight Kitchen
323,4604,140,2023-06-22,297.61,Darbar Mess Pure Veg
324,2300,132,2023-10-21,342.95,Amma Tiffins South Indian
325,2379,190,2023-05-18,893.93,Royal Tiffins Multicuisine
326,1826,101,2023-08-25,627.71,Flavour Street Kitchen
327,1938,129,2023-06-18,1777.04,Grand Cafe Punjabi
328,2156,278,2023-06-05,1343.88,Amma Restaurant South Indian
329,4389,252,2023-07-16,1149.02,New Cafe North Indian
330,2357,288,2023-05-07,943.71,Chef’s Delight Kitchen
331,3767,167,2023-08-26,146.42,Amma Kitchen Punjabi
332,2862,123,2023-12-22,553.8,Masala Trail Multicuisine
333,3559,126,2023-08-05,1274.02,Ruchi Biryani Punjabi
334,4867,217,2023-07-12,1345.78,Amma Kitchen Punjabi
335,3170,246,2023-03-08,989.4,Punjabi Zaika House
336,1138,194,2023-03-21,1273.33,Annapurna Tiffins South Indian
337,3752,114,2023-11-08,920.6,Darbar Mess Pure Veg
338,1492,118,2023-03-09,1412.4,Ruchi Curry House Multicuisine
339,2245,285,2023-06-20,603.46,Amma Restaurant South Indian
340,4063,167,2023-06-13,1345.89,Tandoori Junction
341,2708,171,2023-01-15,346.52,Urban Biryani House
342,2135,298,2023-10-19,182.43,Annapurna Kitchen Family Restaurant
343,3147,144,2023-07-08,1554.02,Darbar Kitchen Non-Veg
344,4502,158,2023-08-26,118.53,Amma Tiffins South Indian
345,4830,205,2023-03-03,229.15,Annapurna Kitchen Family Restaurant
346,4339,140,2023-12-04,450.02,Grand Cafe Punjabi
347,3096,283,2023-09-11,531.86,Royal Eatery South Indian
348,1633,216,2023-08-27,324.95,Amma Restaurant South Indian
349,4108,280,2023-08-12,980.91,New Cafe North Indian
350,3485,173,2023-05-05,583.8,Amma Tiffins South Indian
351,4207,285,2023-05-27,267.62,Ruchi Foods South Indian
352,1419,205,2023-08-03,440.99,Curry Kings Restaurant
353,1895,151,2023-02-17,150.17,Royal Eatery South Indian
354,2855,290,2023-11-12,420.07,The Feast Factory
355,1481,158,2023-08-22,1266.07,New Cafe North Indian
356,4722,256,2023-06-08,1275.69,Spice Mess Punjabi
357,2277,209,2023-01-21,1261.73,Spice Mess Andhra
358,3394,159,2023-12-26,1380.4,Udupi Curry House South Indian
359,1254,262,2023-08-22,1137.5,Ruchi Foods Chinese
360,2209,219,2023-12-03,101.83,Flavour Street Kitchen
361,1426,126,2023-08-08,1661.96,Amma Delights Family Restaurant
362,4044,229,2023-03-05,901.72,Punjabi Zaika House
363,2214,151,2023-09-13,417.8,The Feast Factory
364,3349,112,2023-08-19,663.03,Darbar Mess Pure Veg
365,4732,123,2023-12-23,665.2,Royal Eatery South Indian
366,3292,200,2023-11-19,1729.7,Darbar Restaurant North Indian
367,1624,189,2023-01-07,1595.33,Taste of Biryani Non-Veg
368,2816,122,2023-01-03,1363.46,Punjabi Zaika House
369,1637,254,2023-10-18,314.24,New Cafe North Indian
370,3652,244,2023-02-02,986.74,Amma Biryani North Indian
371,4961,183,2023-12-08,617.32,New Cafe North Indian
372,3258,294,2023-12-19,1076.99,Swagath Cafe Multicuisine
373,3262,272,2023-08-01,1390.51,Darbar Delights South Indian
374,2405,184,2023-07-06,1750.98,Sri Tiffins Andhra
375,3287,252,2023-12-19,304.09,Annapurna Kitchen Family Restaurant
376,2543,143,2023-07-11,1279.66,Spice Kitchen Punjabi
377,2772,282,2023-05-26,1609.47,Royal Biryani North Indian
378,2223,111,2023-05-10,1572.52,Amma Restaurant South Indian
379,4556,108,2023-03-09,657.7,Royal Masala Point
380,2599,166,2023-12-01,1061.73,Royal Masala Point
381,3213,273,2023-11-20,962.17,Ruchi Biryani Punjabi
382,2102,283,2023-07-13,1532.29,Spice Mess Andhra
383,2876,187,2023-11-04,761.79,Royal Masala Point
384,3843,235,2023-10-12,859.95,Amma Kitchen Punjabi
385,1125,100,2023-05-26,1532.56,The Feast Factory
386,4516,150,2023-06-25,1239.6,Royal Tiffins Multicuisine
387,2821,162,2023-11-24,787.45,Annapurna Kitchen Family Restaurant
388,1586,212,2023-04-05,351.68,Royal Tiffins Multicuisine
389,2664,237,2023-11-14,646.35,Taste of Biryani Non-Veg
390,3892,231,2023-06-11,1095.04,Punjabi Zaika House
391,3055,227,2023-03-12,1018.61,Taste of Biryani Non-Veg
392,4904,203,2023-01-14,754.77,Ruchi Curry House Multicuisine
393,4291,199,2023-12-19,594.02,Darbar Mess Pure Veg
394,3791,161,2023-08-08,698.5,Amma Restaurant South Indian
395,2292,236,2023-12-13,1472.12,New Foods Chinese
396,4621,248,2023-12-20,142.98,Udupi Curry House South Indian
397,4848,278,2023-08-05,577.02,The Feast Factory
398,4437,135,2023-05-26,1308.97,Bombay Spice Villa
399,1735,297,2023-12-01,1118.04,Ruchi Curry House Multicuisine
400,2262,193,2023-09-20,439.06,Udupi Curry House South Indian
401,1440,119,2023-07-25,436.19,The Feast Factory
402,1962,179,2023-09-04,268.06,Ruchi Curry House Multicuisine
403,3399,187,2023-12-18,510.96,Amma Tiffins South Indian
404,2484,285,2023-07-27,398.28,New Foods Chinese
405,3654,265,2023-12-04,1415.04,Royal Eatery South Indian
406,1189,292,2023-08-18,203.34,Sri Tiffins Andhra
407,4036,260,2023-03-02,822.47,Sri Tiffins Andhra
408,1617,145,2023-12-21,1585.6,Ruchi Foods Chinese
409,2553,201,2023-03-19,1203.65,Spice Kitchen Punjabi
410,2331,249,2023-05-25,159.62,Flavour Street Kitchen
411,4138,249,2023-01-07,673.19,Amma Restaurant South Indian
412,3254,172,2023-08-17,483.34,Flavour Street Kitchen
413,4951,263,2023-09-07,955.47,Udupi Curry House South Indian
414,1561,193,2023-08-20,1103.46,Amma Restaurant South Indian
415,2290,128,2023-12-19,1104.23,Annapurna Kitchen Family Restaurant
416,2439,103,2023-06-10,864.21,New Foods Chinese
417,3300,123,2023-12-06,1047.87,Masala Trail Multicuisine
418,3480,199,2023-08-21,1020.59,Biryani Brothers
419,4798,208,2023-12-20,822.7,Darbar Delights South Indian
420,4442,210,2023-12-01,998.4,Spice Kitchen Punjabi
421,3867,170,2023-12-03,1186.29,Biryani Brothers
422,4091,286,2023-12-12,1612.28,Royal Tiffins Multicuisine
423,3637,271,2023-07-25,1659.65,Bombay Spice Villa
424,4454,291,2023-06-20,641.84,Ruchi Foods Chinese
425,1933,195,2023-07-01,970.22,Flavour Street Kitchen
426,2105,140,2023-10-19,648.44,Sri Tiffins Andhra
427,1737,211,2023-12-13,161.04,Spice Mess Andhra
428,3304,222,2023-03-18,1686.69,Spice Kitchen Punjabi
429,2922,234,2023-04-19,714.7,Amma Restaurant South Indian
430,2832,245,2023-11-04,1730.01,Masala Trail Multicuisine
431,1992,251,2023-04-15,217.72,Punjabi Zaika House
432,1338,235,2023-12-17,550.65,Urban Biryani House
433,3550,174,2023-10-08,1652.15,Bombay Spice Villa
434,1841,180,2023-04-16,809.67,Ruchi Foods South Indian
435,2199,255,2023-12-06,178.61,Udupi Curry House South Indian
436,1766,251,2023-05-18,740.39,New Foods Chinese
437,3859,282,2023-04-17,1370.99,Amma Kitchen Punjabi
438,2016,103,2023-11-26,656.29,New Foods Chinese
439,1543,110,2023-06-04,725.71,Grand Cafe Punjabi
440,1891,148,2023-12-21,294.02,Spice Mess Andhra
441,1614,237,2023-10-15,212.92,The Feast Factory
442,1252,280,2023-08-11,1295.54,New Cafe North Indian
443,4382,278,2023-11-17,1664.57,Darbar Delights South Indian
444,2557,206,2023-12-13,175.27,Biryani Brothers
445,3471,159,2023-12-05,1014.23,Swagath Cafe Multicuisine
446,2073,175,2023-07-08,1545.83,Royal Eatery South Indian
447,2314,146,2023-03-02,471.4,Udupi Curry House South Indian
448,4121,130,2023-12-07,1281.99,Amma Delights Family Restaurant
449,4668,256,2023-12-03,830.7,Ruchi Foods Chinese
450,2488,239,2023-12-05,1347.6,Masala Trail Multicuisine
